artist_name,artist_id,rank,song_title,spotify_track_id,total_streams,daily_streams,source_url,scrape_date,spotify_url,has_spotify_id,data_confidence
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,1,MAPA,6Fz2TpxUD0YvAPsuG8nDMJ,67348750,43910,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/6Fz2TpxUD0YvAPsuG8nDMJ,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,2,GENTO,6RYhIHur2unkQv28fcinNO,58873712,38429,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/6RYhIHur2unkQv28fcinNO,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,3,DAM,1NNsL6tYk06TqTea3mKB9P,36246774,130381,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/1NNsL6tYk06TqTea3mKB9P,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,4,Hanggang Sa Huli,2WUhR1SraSy0SVIQKohJb6,25028578,15420,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/2WUhR1SraSy0SVIQKohJb6,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,5,Bazinga,5QZw4F3N3PvuKNKHm9L20b,24347264,21644,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/5QZw4F3N3PvuKNKHm9L20b,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,6,I WANT YOU,16GGH8OF6LiSUTTbm8421f,24065468,19695,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/16GGH8OF6LiSUTTbm8421f,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,7,MAPA (Band Version),0QQoU68nnBRWJqr9ak3mnS,22217439,11327,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/0QQoU68nnBRWJqr9ak3mnS,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,8,Go Up,5VoY18OYEE2E6RJCBd2jki,20789707,13244,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/5VoY18OYEE2E6RJCBd2jki,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,9,What?,1evZendZnEe8a8eXjd1Bcn,19772476,12467,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/1evZendZnEe8a8eXjd1Bcn,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,10,WYAT (Where You At),1z50Hub2XCsAPWo8zgoePu,19396769,13348,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/1z50Hub2XCsAPWo8zgoePu,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,11,CRIMZONE,5GcS9zT4iIL7l0JrqZeG6O,18834866,22808,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/5GcS9zT4iIL7l0JrqZeG6O,True,demo_historical
SB19 - Spotify Top Songs,3g7vYcdDXnqnDKYFwqXBJP,12,Tilaluha,6KawczP7xc6xQRIpOqvpey,18446448,11797,https://kworb.net/spotify/artist/3g7vYcdDXnqnDKYFwqXBJP_songs.html,2025-07-25 18:17:49,https://open.spotify.com/track/6KawczP7xc6xQRIpOqvpey,True,demo_historical
